SERVICE_REQUEST_NUMBER,ADDRESS,CITY_COUNCIL_DISTRICT,DEPARTMENT,SERVICE_REQUEST_TYPE,ERT(ESTIMATED_RESPONSE_TIME),ERT_MEASURED_IN,OVERALL_SERVICE_REQUEST_DUE_DATE,STATUS,CREATED_DATE,UPDATED_DATE,CLOSED_DATE,OUTCOME,PRIORITY,METHOD_RECEIVED_DESC,LAT_LONG_VALUE,UNIQUE_KEY
19-01396351,"2901 GASTON AVE, DALLAS, TX, 75226",14,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,02/12/2020 11:59:00 PM,Closed,12/04/2019 11:53:39 AM,01/27/2020 02:38:28 AM,12/04/2019 11:53:39 AM,Investigation Complete,Standard,API,"(32.78749782610172000,-96.78495265191972000)",500t000000OeGSnAAN
19-01352459,"2903 S HASKELL AVE, DALLAS, TX, 75223",7,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,01/29/2020 11:59:00 PM,Closed,11/20/2019 01:59:09 PM,01/27/2020 02:46:56 AM,11/20/2019 01:59:09 PM,Investigation Complete,Standard,API,"(32.78271137659323400,-96.74439420467034000)",500t000000OcjpcAAB
19-01355646,"1400 S AKARD ST, DALLAS, TX, 75215",2,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,01/30/2020 11:59:00 PM,Closed,11/21/2019 10:54:22 AM,01/27/2020 02:47:02 AM,11/21/2019 10:54:22 AM,Investigation Complete,Standard,API,"(32.77060918206232000,-96.79262905950479000)",500t000000OcqghAAB
19-01445105,"722 S HASKELL AVE, DALLAS, TX, 75223",2,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,02/26/2020 11:59:00 PM,In Progress,12/18/2019 02:34:39 AM,01/27/2020 02:05:51 AM,12/18/2019 02:34:39 AM,,Standard,API,"(32.78507469885922600,-96.76630960117892000)",500t000000PxqvVAAR
19-01337759,"4320 MAIN ST, DALLAS, TX, 75226",2,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,01/24/2020 11:59:00 PM,Closed,11/16/2019 12:50:42 PM,01/27/2020 02:41:51 AM,11/16/2019 12:50:42 PM,Investigation Complete,Standard,API,"(32.79000929901469000,-96.76864509149483000)",500t000000OcEhhAAF
19-01192810,"2800 MAIN ST, DALLAS, TX, 75226",2,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,12/17/2019 11:59:00 PM,Closed (Duplicate),10/08/2019 07:05:46 AM,01/27/2020 01:53:56 AM,10/08/2019 07:05:46 AM,Investigation Complete,Standard,API,"(32.78382984982195600,-96.78331629158137000)",500t000000N51DLAAZ
19-01211041,"2800 COMMERCE ST, DALLAS, TX, 75226",2,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,12/20/2019 11:59:00 PM,Closed (Duplicate),10/12/2019 02:18:35 PM,01/27/2020 02:49:24 AM,10/12/2019 02:18:35 PM,Investigation Complete,Standard,API,"(32.78309733847948000,-96.78312569806520000)",500t000000N6PUaAAN
19-01214012,"311 S ZANG BLVD, DALLAS, TX, 75208",1,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,12/23/2019 11:59:00 PM,Closed,10/14/2019 09:48:34 AM,01/27/2020 02:49:20 AM,10/14/2019 09:48:34 AM,Investigation Complete,Standard,API,"(32.74258975482107600,-96.82481880477792000)",500t000000N6XCOAA3
19-01418558,"1900 ST LOUIS ST, DALLAS, TX, 75201",2,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,02/18/2020 11:59:00 PM,New (Duplicate),12/10/2019 02:44:49 PM,01/27/2020 02:02:57 AM,12/10/2019 02:44:49 PM,,Standard,API,"(32.77572225782142000,-96.79052837696970000)",500t000000Of2ufAAB
19-01301238,"4100 LIVE OAK ST, DALLAS, TX, 75204",2,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,01/15/2020 11:59:00 PM,Closed (Duplicate),11/06/2019 05:52:51 PM,01/27/2020 02:10:31 AM,11/06/2019 05:52:51 PM,,Standard,API,"(32.79645071380879500,-96.77968873882298000)",500t000000NiNvXAAV
19-01241629,"700 S LLEWELLYN AVE, DALLAS, TX, 75208",1,Transportation,Graffiti Traffic Signal - TRN,5 Business Days,Business Days,11/04/2019 03:29:45 PM,Closed,10/21/2019 03:29:45 PM,01/27/2020 02:53:05 AM,10/21/2019 03:29:45 PM,Work Completed,Standard,Proactive,"(32.73918072243146000,-96.83199855675413000)",500t000000NZXurAAH
19-01374275,"5233 ELLSWORTH AVE, DALLAS, TX, 75206",14,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,02/04/2020 11:59:00 PM,Closed,11/26/2019 03:28:03 PM,01/27/2020 02:24:20 AM,11/26/2019 03:28:03 PM,Investigation Complete,Standard,API,"(32.83378297554076400,-96.77932311051550000)",500t000000OdV4PAAV
19-01177760,"4000 ASH LN, DALLAS, TX, 75223",2,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,12/12/2019 11:59:00 PM,Closed,10/03/2019 10:13:11 AM,01/27/2020 12:57:20 AM,10/03/2019 10:13:11 AM,Investigation Complete,Standard,API,"(32.78514070717154000,-96.76707501126039000)",500t000000N3y85AAB
19-01357656,"8711 MILVERTON DR, DALLAS, TX, 75217",5,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,01/30/2020 11:59:00 PM,In Progress,11/21/2019 03:39:21 PM,01/27/2020 02:47:09 AM,11/21/2019 03:39:21 PM,,Standard,API,"(32.74810915656336600,-96.67288545612035000)",500t000000OcuJDAAZ
19-01423566,"4901 GASTON AVE, DALLAS, TX, 75214",14,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,02/19/2020 11:59:00 PM,Closed,12/11/2019 02:39:02 PM,01/27/2020 02:04:12 AM,12/11/2019 02:39:02 PM,Investigation Complete,Standard,API,"(32.80027552707909000,-96.76941229422515000)",500t000000OfHPTAA3
19-01311765,"3705 CYPRESS AVE, DALLAS, TX, 75227",7,Transportation,Graffiti Traffic Sign - TRN,5 Business Days,Business Days,11/22/2019 11:59:00 PM,Closed,11/09/2019 04:36:03 PM,01/27/2020 02:47:26 AM,11/09/2019 04:36:03 PM,Work Completed,Standard,API,"(32.76853327509948000,-96.66202801726551000)",500t000000NimGPAAZ
19-01377576,"CANTON ST & S MALCOLM X BLVD, DALLAS, TX, 75226",2,Transportation,Graffiti Traffic Signal - TRN,5 Business Days,Business Days,12/11/2019 12:31:57 PM,Closed,11/27/2019 12:31:58 PM,01/27/2020 02:39:13 AM,11/27/2019 12:31:58 PM,Work Completed,Standard,Proactive,"(32.78251126168019000,-96.78170794239654000)",500t000000OdcBrAAJ
19-01423683,"9500 WEBB CHAPEL RD, DALLAS, TX, 75220",2,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,02/19/2020 11:59:00 PM,In Progress,12/11/2019 02:54:46 PM,01/27/2020 02:04:12 AM,12/11/2019 02:54:46 PM,,Standard,API,"(32.86331544984070500,-96.86031160018256000)",500t000000OfHqOAAV
19-01405839,"503 CORINTH ST, DALLAS, TX, 75207",2,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,02/14/2020 11:59:00 PM,Closed,12/06/2019 11:23:29 AM,01/27/2020 02:54:04 AM,12/06/2019 11:23:29 AM,Investigation Complete,Standard,API,"(32.76150267275636500,-96.79318784990683000)",500t000000Oea2QAAR
19-01185930,"10256 CASA VIEW AVE, DALLAS, TX, 75228",9,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,12/13/2019 11:59:00 PM,Closed,10/05/2019 08:25:20 AM,01/27/2020 01:52:56 AM,10/05/2019 08:25:20 AM,Investigation Complete,Standard,API,"(32.83266409024466000,-96.67691249189036000)",500t000000N4Wr0AAF
19-01264226,"2647 W NORTHWEST HWY, DALLAS, TX, 75220",6,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,01/06/2020 11:59:00 PM,Closed,10/28/2019 08:43:08 AM,01/27/2020 01:52:26 AM,10/28/2019 08:43:08 AM,Investigation Complete,Standard,API,"(32.85855513390110000,-96.87789110955691000)",500t000000NtMztAAF
19-01379809,"300 IOWA AVE, DALLAS, TX, 75216",4,Public Works,Graffiti City Streets & Bridges - PBW,7 Business Days,Business Days,12/18/2019 11:59:00 PM,Closed,11/28/2019 01:03:17 PM,01/27/2020 02:38:55 AM,11/28/2019 01:03:17 PM,No Action Required,Standard,Phone,"(32.72621442393500500,-96.82036511065179000)",500t000000OdhUUAAZ
19-01274094,"7007 BRUTON RD, DALLAS, TX, 75217",5,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,01/08/2020 11:59:00 PM,Closed,10/30/2019 10:57:53 AM,01/27/2020 02:40:20 AM,10/30/2019 10:57:53 AM,Investigation Complete,Standard,API,"(32.74915532868778500,-96.70005757497677000)",500t000000NuqQqAAJ
19-01241611,"1410 LOOMIS AVE, DALLAS, TX, 75215",7,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,12/30/2019 11:59:00 PM,Closed,10/21/2019 03:28:02 PM,01/27/2020 02:53:51 AM,10/21/2019 03:28:02 PM,Investigation Complete,Standard,API,"(32.75361312506565000,-96.77207851668132000)",500t000000NZXqQAAX
19-01320777,"10202 BLACK HICKORY RD, DALLAS, TX, 75243",10,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,01/21/2020 11:59:00 PM,Closed (Duplicate),11/12/2019 01:44:01 PM,01/27/2020 02:48:53 AM,11/12/2019 01:44:01 PM,Investigation Complete,Standard,API,"(32.91415708439312000,-96.70884257666165000)",500t000000Obf8DAAR
19-01424782,"540 JOSEPHINE ST, DALLAS, TX, 75246",2,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,02/19/2020 11:59:00 PM,Closed,12/11/2019 05:28:32 PM,01/27/2020 02:04:12 AM,12/11/2019 05:28:32 PM,Investigation Complete,Standard,API,"(32.79250666199835000,-96.77338239231192000)",500t000000OfLMwAAN
19-01255800,"13508 C F HAWN FWY EB, DALLAS, TX, 75253",8,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,01/02/2020 11:59:00 PM,Closed,10/24/2019 04:48:23 PM,01/27/2020 01:51:18 AM,10/24/2019 04:48:23 PM,Investigation Complete,Standard,API,"(32.67644452620863000,-96.60340466139951000)",500t000000NroFQAAZ
19-01173453,"520 CORINTH ST, DALLAS, TX, 75207",2,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,12/11/2019 11:59:00 PM,Closed,10/02/2019 11:08:44 AM,01/27/2020 01:14:21 AM,10/02/2019 11:08:44 AM,Investigation Complete,Standard,API,"(32.76141411413064000,-96.79287032593338000)",500t000000N3fYiAAJ
19-01422171,"2026 COMMERCE ST, DALLAS, TX, 75201",14,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,02/19/2020 11:59:00 PM,In Progress,12/11/2019 11:35:04 AM,01/27/2020 02:04:14 AM,12/11/2019 11:35:04 AM,,Standard,API,"(32.78093855382818000,-96.79345716549368000)",500t000000OfBw6AAF
19-01227813,"200 W JEFFERSON BLVD, DALLAS, TX, 75208",1,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,12/26/2019 11:59:00 PM,Closed (Duplicate),10/17/2019 10:38:38 AM,01/27/2020 02:21:42 AM,10/17/2019 10:38:38 AM,,Standard,API,"(32.74295296684147000,-96.82471923010604000)",500t000000NWwJUAA1
19-01415769,"1803 ARIZONA AVE, DALLAS, TX, 75216",4,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,02/18/2020 11:59:00 PM,In Progress,12/10/2019 09:13:15 AM,01/27/2020 02:02:52 AM,12/10/2019 09:13:15 AM,,Standard,API,"(32.72624880762850000,-96.81822872704048000)",500t000000OexcCAAR
19-01210380,"131 EMBREY DR, DALLAS, TX, 75232",3,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,12/20/2019 11:59:00 PM,Closed,10/12/2019 08:56:51 AM,01/27/2020 02:32:49 AM,10/12/2019 08:56:51 AM,Investigation Complete,Standard,API,"(32.67375728057919000,-96.82423545918700000)",500t000000N6ODhAAN
19-01423827,"17117 COIT RD, DALLAS, TX, 75248",12,Transportation,Graffiti Traffic Signal - TRN,5 Business Days,Business Days,12/25/2019 03:10:50 PM,Closed,12/11/2019 03:10:50 PM,01/27/2020 02:03:47 AM,12/11/2019 03:10:50 PM,Work Could not be Completed,Standard,API,"(32.98537237587582000,-96.76844246366420000)",500t000000OfIFYAA3
19-01230968,"5901 LOVETT AVE, DALLAS, TX, 75227",5,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,12/27/2019 11:59:00 PM,Closed,10/18/2019 07:57:23 AM,01/27/2020 02:22:58 AM,10/18/2019 07:57:23 AM,Investigation Complete,Standard,API,"(32.77724878342777000,-96.71687750914496000)",500t000000NXQO0AAP
19-01441257,"801 W KIEST BLVD, DALLAS, TX, 75224",4,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,02/25/2020 11:59:00 PM,New,12/17/2019 10:45:58 AM,01/27/2020 02:05:20 AM,12/17/2019 10:45:58 AM,,Standard,Phone,"(32.70591360027247400,-96.83701367522762000)",500t000000PxhZ1AAJ
19-01235803,"515 PARK AVE, DALLAS, TX, 75201",2,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,12/27/2019 11:59:00 PM,Closed,10/19/2019 03:32:57 PM,01/27/2020 02:52:50 AM,10/19/2019 03:32:57 PM,Investigation Complete,Standard,API,"(32.77834289301118000,-96.79385996653002000)",500t000000NYXdxAAH
19-01353421,"3875 ALTA VISTA LN, DALLAS, TX, 75229",13,Public Works,Graffiti City Streets & Bridges - PBW,7 Business Days,Business Days,12/10/2019 11:59:00 PM,Closed,11/20/2019 04:08:32 PM,01/27/2020 02:46:50 AM,11/20/2019 04:08:32 PM,Work Completed,Standard,API,"(32.90443980495484000,-96.84899334086140000)",500t000000OclTnAAJ
19-01444741,"4924 COLUMBIA AVE, DALLAS, TX, 75214",2,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,02/25/2020 11:59:00 PM,Closed (Duplicate),12/17/2019 09:21:51 PM,01/27/2020 02:05:28 AM,12/17/2019 09:21:51 PM,Investigation Complete,Standard,API,"(32.79572442898554400,-96.76262005543200000)",500t000000PxpwhAAB
19-01413322,"9560 HIGHFIELD DR, DALLAS, TX, 75227",7,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,02/17/2020 11:59:00 PM,Closed,12/09/2019 02:13:42 PM,01/27/2020 02:55:32 AM,12/09/2019 02:13:42 PM,Investigation Complete,Standard,API,"(32.75533484035340000,-96.65818605680226000)",500t000000OerlcAAB
20-00023314,"4112 W ILLINOIS AVE, DALLAS, TX, 75211",3,Transportation,Graffiti Traffic Sign - TRN,5 Business Days,Business Days,01/23/2020 11:59:00 PM,Closed (Transferred),01/08/2020 12:34:57 PM,01/27/2020 02:06:24 AM,01/08/2020 12:34:57 PM,,Standard,API,"(32.72021077155374000,-96.88704270339875000)",500t000000Q0LByAAN
20-00038066,"1900 BAYSIDE ST, DALLAS, TX, 75212",6,Transportation,Graffiti Traffic Signal - TRN,5 Business Days,Business Days,01/28/2020 11:59:53 AM,Closed,01/13/2020 11:59:54 AM,01/27/2020 01:36:06 AM,01/13/2020 11:59:54 AM,Work Completed,Standard,Proactive,"(32.78854380145035000,-96.85039170387750000)",500t000000Q12DvAAJ
19-01421503,"1831 JOHN WEST RD, DALLAS, TX, 75228",7,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,02/19/2020 11:59:00 PM,New,12/11/2019 10:18:27 AM,01/27/2020 02:03:25 AM,12/11/2019 10:18:27 AM,,Standard,API,"(32.80726085962009400,-96.68482610733044000)",500t000000OfA2WAAV
19-01360904,"1516 CORINTH ST, DALLAS, TX, 75215",2,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,01/31/2020 11:59:00 PM,Closed,11/22/2019 01:03:58 PM,01/27/2020 02:47:16 AM,11/22/2019 01:03:58 PM,Investigation Complete,Standard,API,"(32.76760929508295000,-96.78610060083790000)",500t000000Od1JtAAJ
20-00063772,"E LOVERS LN & SKILLMAN ST, DALLAS, TX, 75206",14,Transportation,Graffiti Traffic Signal - TRN,5 Business Days,Business Days,02/04/2020 08:44:25 AM,Closed,01/21/2020 08:44:25 AM,01/27/2020 01:20:03 AM,01/21/2020 08:44:25 AM,Work Completed,Standard,Proactive,"(32.85087158052138500,-96.76066538184926000)",500t000000R31oqAAB
19-01355452,"2015 CORINTH ST, DALLAS, TX, 75215",2,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,01/30/2020 11:59:00 PM,Closed,11/21/2019 10:28:50 AM,01/27/2020 02:47:06 AM,11/21/2019 10:28:50 AM,Investigation Complete,Standard,API,"(32.77176750493362000,-96.78230391622360000)",500t000000OcqLFAAZ
19-01444771,"1607 EMERY ST, DALLAS, TX, 75215",7,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,02/25/2020 11:59:00 PM,Closed (Duplicate),12/17/2019 09:27:13 PM,01/27/2020 02:05:45 AM,12/17/2019 09:27:13 PM,Investigation Complete,Standard,API,"(32.74630163529983000,-96.76186090815715000)",500t000000PxpzCAAR
19-01288008,"1330 FAIRVIEW AVE, DALLAS, TX, 75223",2,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,01/13/2020 11:59:00 PM,Closed,11/04/2019 09:38:55 AM,01/27/2020 02:10:53 AM,11/04/2019 09:38:55 AM,Investigation Complete,Standard,API,"(32.79045599449967000,-96.74771558557883000)",500t000000NvIQoAAN
19-01432068,"3000 MAIN ST, DALLAS, TX, 75226",2,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,02/21/2020 11:59:00 PM,New (Duplicate),12/13/2019 01:47:46 PM,01/27/2020 02:29:28 AM,12/13/2019 01:47:46 PM,,Standard,API,"(32.78437497982040600,-96.78050239685221000)",500t000000PxMGVAA3
19-01362978,"1621 N PRAIRIE AVE, DALLAS, TX, 75204",2,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,01/31/2020 11:59:00 PM,In Progress,11/22/2019 05:42:21 PM,01/27/2020 02:23:39 AM,11/22/2019 05:42:21 PM,,Standard,API,"(32.80503476220563600,-96.77661713105051000)",500t000000Od4ekAAB
19-01444335,"2944 ELM ST, DALLAS, TX, 75226",2,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,02/25/2020 11:59:00 PM,Closed,12/17/2019 07:43:50 PM,01/27/2020 02:05:36 AM,12/17/2019 07:43:50 PM,Investigation Complete,Standard,API,"(32.78491726987108000,-96.78165153637771000)",500t000000PxpKYAAZ
19-01426117,"915 N FITZHUGH AVE, DALLAS, TX, 75204",2,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,02/20/2020 11:59:00 PM,Closed,12/12/2019 10:08:28 AM,01/27/2020 02:04:27 AM,12/12/2019 10:08:28 AM,Investigation Complete,Standard,API,"(32.80016037245359000,-96.76959222801825000)",500t000000OfQ1PAAV
19-01431926,"2944 ELM ST, DALLAS, TX, 75226",2,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,02/21/2020 11:59:00 PM,In Progress,12/13/2019 01:28:09 PM,01/27/2020 02:29:41 AM,12/13/2019 01:28:09 PM,,Standard,API,"(32.78491726987108000,-96.78165153637771000)",500t000000PxM1fAAF
19-01194044,"12121 ABRAMS RD, DALLAS, TX, 75243",10,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,12/17/2019 11:59:00 PM,New (Duplicate),10/08/2019 09:59:16 AM,01/27/2020 02:32:11 AM,10/08/2019 09:59:16 AM,,Standard,API,"(32.91313878855570000,-96.73569318044399000)",500t000000N555pAAB
19-01402001,"4927 GASTON AVE, DALLAS, TX, 75214",14,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,02/13/2020 11:59:00 PM,Closed,12/05/2019 12:23:07 PM,01/27/2020 02:28:01 AM,12/05/2019 12:23:07 PM,Investigation Complete,Standard,API,"(32.80062620371056000,-96.76899041026105000)",500t000000OeRcyAAF
19-01427860,"1519 N HENDERSON AVE, DALLAS, TX, 75206",2,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,02/20/2020 11:59:00 PM,In Progress,12/12/2019 02:24:39 PM,01/27/2020 02:28:34 AM,12/12/2019 02:24:39 PM,,Standard,API,"(32.80776462560338000,-96.77053544727558000)",500t000000OfU27AAF
19-01426053,"2320 N CENTRAL EXPY NB, DALLAS, TX, 75204",14,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,02/20/2020 11:59:00 PM,In Progress,12/12/2019 09:59:02 AM,01/27/2020 02:28:26 AM,12/12/2019 09:59:02 AM,,Standard,API,"(32.80019315353366000,-96.79284503448197000)",500t000000OfPtzAAF
19-01303697,"5216 FUQUA ST, DALLAS, TX, 75206",2,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,01/16/2020 11:59:00 PM,Closed,11/07/2019 01:03:38 PM,01/27/2020 01:58:01 AM,11/07/2019 01:03:38 PM,Investigation Complete,Standard,API,"(32.81229178897863000,-96.77639056517546000)",500t000000NiTtcAAF
19-01253937,"2833 IRVING BLVD, DALLAS, TX, 75207",6,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,01/02/2020 11:59:00 PM,Closed,10/24/2019 12:09:19 PM,01/27/2020 01:50:54 AM,10/24/2019 12:09:19 PM,Investigation Complete,Standard,API,"(32.80806915432611000,-96.84813780196718000)",500t000000NrcdLAAR
19-01421931,"5409 EAST GRAND AVE, DALLAS, TX, 75223",2,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,02/19/2020 11:59:00 PM,In Progress,12/11/2019 11:05:00 AM,01/27/2020 02:03:32 AM,12/11/2019 11:05:00 AM,,Standard,API,"(32.79217465900595000,-96.74931079714263000)",500t000000OfB9OAAV
19-01444389,"3933 DAWES DR, DALLAS, TX, 75211",1,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,02/25/2020 11:59:00 PM,In Progress,12/17/2019 07:59:45 PM,01/27/2020 02:05:53 AM,12/17/2019 07:59:45 PM,,Standard,API,"(32.72753664031137000,-96.88410458356815000)",500t000000PxpPJAAZ
19-01192558,"901 N ZANG BLVD, DALLAS, TX, 75208",1,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,12/16/2019 11:59:00 PM,Closed,10/07/2019 09:18:15 PM,01/27/2020 01:54:47 AM,10/07/2019 09:18:15 PM,Investigation Complete,Standard,API,"(32.75384286582425000,-96.82433351389717000)",500t000000N4zElAAJ
19-01420573,"3200 GARAPAN DR, DALLAS, TX, 75224",4,Transportation,Graffiti Traffic Signal - TRN,5 Business Days,Business Days,12/20/2019 10:49:25 AM,Closed (Transferred),12/07/2019 10:49:25 AM,01/27/2020 02:03:23 AM,12/07/2019 10:49:25 AM,,Standard,Phone,"(32.70767041759204000,-96.83514245079068000)",500t000000Of80aAAB
19-01290071,"11592 HILLGUARD RD, DALLAS, TX, 75243",10,Code Compliance,Graffiti Private Property - CCS,5 Business Days,Business Days,01/13/2020 11:59:00 PM,Closed,11/04/2019 02:18:38 PM,01/27/2020 02:11:16 AM,11/04/2019 02:18:38 PM,Investigation Complete,Standard,API,"(32.90699576085436500,-96.70486543545887000)",500t000000NvMHgAAN
19-01186927,"12508 N CENTRAL SERV NB, DALLAS, TX, 75243",10,Public Works,Graffiti City Streets & Bridges - PBW,7 Business Days,Business Days,10/24/2019 10:59:00 PM,Closed,10/05/2019 05:39:45 PM,01/27/2020 01:53:08 AM,10/05/2019 05:39:45 PM,Work Could not be Completed,Standard,API,"(32.91862674582028000,-96.76566576572131000)",500t000000N4Z2jAAF
